FID,ADM2_EN,ADM3_EN,Shape_Leng,Shape_Area,Area,pop2020,pop_low,pop_mod,pop_high,pop_vhigh,pop_risk,pop_hvhigh,pct_low,pct_mod,pct_high,pct_vhigh,pct_risk,pvt_hvhigh,pct_norisk,pct_hverisk
70,Kegalle,Galigamuwa,0.775352768,0.010199542,125,79443,2838,2382,2321,2502,7205,4823,3.572372645,2.998376194,2.921591581,3.149427892,9.069395667,6.071019473,87.35823169,12.64176831
71,Galle,Galle4Gravets,0.381974477,0.001811235,22,98435,12688,6163,1983,303,8449,2286,12.88972418,6.260984406,2.014527353,0.307817341,8.5833291,2.322344694,78.52694672,21.47305328
72,Anuradhapura,Galnewa,0.713394289,0.01129348,138,37282,2180,1367,440,12,1819,452,5.847325787,3.666648785,1.180194196,0.032187114,4.879030095,1.21238131,89.27364412,10.72635588
73,Gampaha,Gampaha,0.722197574,0.007515833,92,225478,21071,17318,16459,4526,38303,20985,9.345035879,7.68057194,7.299603509,2.007291177,16.98746663,9.306894686,73.66749749,26.33250251
74,Kurunegala,Ganewatta,0.746873646,0.012311616,150,44031,2466,1638,1045,256,2939,1301,5.600599578,3.720106289,2.373327883,0.581408553,6.674842724,2.954736436,87.7245577,12.2754423
75,Kandy,Ganga Ihala Korale,0.584403304,0.007873659,96,64611,1247,1306,1693,4669,7668,6362,1.930011917,2.021327638,2.620296853,7.226323691,11.86794818,9.846620544,86.2020399,13.7979601
76,Kandy,Gangawata Korale,0.653799715,0.004841911,59,164957,5852,6623,4207,9443,20273,13650,3.54759119,4.014985724,2.550361609,5.724522148,12.28986948,8.274883758,84.16253933,15.83746067
77,Kurunegala,Giribawa,0.880908622,0.01631081,199,32924,1738,1199,576,77,1852,653,5.278823958,3.641720326,1.749483659,0.233871948,5.625075932,1.983355607,89.09610011,10.90389989
78,Ratnapura,Godakawela,0.777829959,0.012438509,152,82381,3752,2980,2920,3220,9120,6140,4.554448234,3.61733895,3.544506622,3.908668261,11.07051383,7.453174883,84.37503793,15.62496207
79,Trincomalee,Gomarankadawala,0.905941567,0.025207295,307,5464,359,209,74,4,287,78,6.570278184,3.825036603,1.35431918,0.073206442,5.252562225,1.427525622,88.17715959,11.82284041
80,Galle,Gonapinuwala,0.325776855,0.002005626,25,24640,2441,2087,1962,133,4182,2095,9.906655844,8.469967532,7.962662338,0.539772727,16.9724026,8.502435065,73.12094156,26.87905844
81,Galle,Habaraduwa,0.751183028,0.003648419,45,65198,4326,2850,2997,820,6667,3817,6.635172858,4.371299733,4.596766772,1.257707292,10.2257738,5.854474064,83.13905335,16.86094665
82,Matara,Hakmana,0.396804055,0.004026096,49,32875,2367,0,899,368,1267,1267,7.2,0,2.73460076,1.119391635,3.853992395,3.853992395,88.9460076,11.0539924
83,Badulla,Haldummulla,1.370012246,0.033961194,415,34575,1017,0,370,162,532,532,2.94143167,0,1.070137383,0.468546638,1.53868402,1.53868402,95.51988431,4.480115691
84,Badulla,Hali-Ela,0.85115149,0.013916718,170,96465,2963,0,1190,1754,2944,2944,3.071580366,0,1.233608044,1.818276059,3.051884103,3.051884103,93.87653553,6.123464469
85,Hambantota,Hambantota,2.258408574,0.026350256,322,65591,3056,0,1883,2374,4257,4257,4.659175802,0,2.870820692,3.619399003,6.490219695,6.490219695,88.8506045,11.1493955
86,Nuwara Eliya,Hanguranketa,0.996656874,0.018340022,224,89860,4478,0,1749,1182,2931,2931,4.983307367,0,1.946361006,1.315379479,3.261740485,3.261740485,91.75495215,8.245047852
87,Badulla,Haputale,0.53518605,0.005647474,69,50218,1142,0,426,453,879,879,2.274084989,0,0.848301406,0.902066988,1.750368394,1.750368394,95.97554662,4.024453383
88,Kandy,Harispattuwa,0.400282795,0.004054368,50,98626,4107,0,1568,2995,4563,4563,4.164216332,0,1.589844463,3.036724596,4.626569059,4.626569059,91.20921461,8.790785391
89,Kandy,Hatharaliyadda,0.449107693,0.005241269,64,31407,1104,0,421,823,1244,1244,3.515139937,0,1.340465501,2.620434935,3.960900436,3.960900436,92.52395963,7.476040373
90,Polonnaruwa,Higurakgoda,2.43386311,0.056312485,686,61884,5300,0,1240,96,1336,1336,8.564410833,0,2.00374895,0.155128951,2.158877901,2.158877901,89.27671127,10.72328873
91,Galle,Hikkaduwa,0.859828054,0.004992806,61,103453,7871,0,3411,402,3813,3813,7.608285888,0,3.29714943,0.388582255,3.685731685,3.685731685,88.70598243,11.29401757
92,Colombo,Homagama,0.674330529,0.009842958,120,294424,23309,0,15608,13065,28673,28673,7.916813847,0,5.301198272,4.437477923,9.738676195,9.738676195,82.34450996,17.65549004
93,Kalutara,Horana,0.573480957,0.009110205,111,135315,11063,0,7156,3453,10609,10609,8.175738093,0,5.288401138,2.551823523,7.840224661,7.840224661,83.98403725,16.01596275
94,Anuradhapura,Horowpathana,2.135437579,0.067808557,826,34709,1715,0,635,121,756,756,4.941081564,0,1.829496672,0.348612752,2.178109424,2.178109424,92.88080901,7.119190988
95,Kurunegala,Ibbagamuwa,1.09456723,0.01757075,214,93464,6107,0,3179,1038,4217,4217,6.534066592,0,3.401309595,1.110588034,4.511897629,4.511897629,88.95403578,11.04596422
96,Galle,Imaduwa,0.467956739,0.004754796,58,49371,4260,0,2081,935,3016,3016,8.628547123,0,4.215025015,1.89382431,6.108849325,6.108849325,85.26260355,14.73739645
97,Ratnapura,Imbulpe,1.059195415,0.021221063,259,62808,2089,0,1555,1349,2904,2904,3.326009426,0,2.475799261,2.147815565,4.623614826,4.623614826,92.05037575,7.949624252
98,Kalutara,Ingiriya,0.446932079,0.007741965,95,61405,2694,0,3329,3607,6936,6936,4.387264881,0,5.421382624,5.874114486,11.29549711,11.29549711,84.31723801,15.68276199
99,Anuradhapura,Ipalogama,0.759773368,0.011565656,141,44621,2537,0,938,239,1177,1177,5.685663701,0,2.102149212,0.535622241,2.637771453,2.637771453,91.67656485,8.323435154
100,Ampara,Irakkamam,0.687368171,0.005134896,63,14573,1563,0,649,34,683,683,10.72531394,0,4.453441296,0.233308173,4.686749468,4.686749468,84.5879366,15.4120634
101,Jaffna,Islands North (Kayts),0.542206066,0.002596071,32,11937,887,0,132,10,142,142,7.430677725,0,1.105805479,0.083773142,1.189578621,1.189578621,91.37974365,8.620256346
102,Jaffna,Islands South (Velanai),1.836794922,0.006990758,85,20074,1212,0,136,18,154,154,6.037660656,0,0.677493275,0.089668228,0.767161502,0.767161502,93.19517784,6.804822158
103,Gampaha,Ja Ela,0.481709436,0.005109912,62,219125,34379,0,6886,1639,8525,8525,15.68921848,0,3.142498574,0.7479749,3.890473474,3.890473474,80.42030804,19.57969196
104,Jaffna,Jaffna,0.220460743,0.000901836,11,53413,8419,0,255,22,277,277,15.76208039,0,0.477411866,0.041188475,0.518600341,0.518600341,83.71931927,16.28068073
105,Matara,Kaburupitiya,0.558891569,0.004680054,57,44480,2893,0,2728,1676,4404,4404,6.504046763,0,6.133093525,3.767985612,9.901079137,9.901079137,83.5948741,16.4051259
