ADM2_EN,ADM3_EN,Area,pop_mild_dro,pop_mod_dro,pop_sev_dro,pop_ex_dro,pop_mse_dro,pop_se_dro,pct_mild_dro,pct_mod_dr,pct_sev_dro,pct_ex_dro,pct_mse_dro,pct_se_dr,pop2020,pop_low,pop_mod,pop_high,pop_vhigh,pop_risk,pop_hvhigh,pct_low,pct_mod,pct_high,pct_vhigh,pct_risk,pvt_hvhigh,pct_norisk,pct_hverisk,flood_high_cat,drought_sev_cat
Ampara,Damana,465,21738,16894,0,0,16894,0,56.9869141,44.28824791,0,0,44.28824791,0,38146,1846,1388,1010,305,2703,1315,4.839301631,3.638651497,2.647721911,0.799559587,7.085932994,3.447281497,88.07476538,11.92523462,2.00,1.00
Matale,Dambulla,446,0,1201,41725,36365,79291,78090,0,1.510183483,52.4882468,45.74600609,99.74443637,98.23425288,79494,4357,3565,2551,1039,7155,3590,5.480916799,4.484615191,3.209047224,1.307016882,9.000679297,4.516064105,85.5184039,14.4815961,2.00,2.00
Puttalam,Dankotuwa,76,0,0,0,68359,68359,68359,0,0,0,100.5004808,100.5004808,100.5004808,68019,6048,4640,3656,1465,9761,5121,8.89163322,6.82162337,5.374968759,2.153809965,14.35040209,7.528778724,76.75796469,23.24203531,2.00,1.00
Ampara,Dehiattakandiya,347,7350,30820,16727,5629,53177,22357,12.13674014,50.89478217,27.62278408,9.296223147,87.8137894,36.91900723,60556,2757,1694,875,177,2746,1052,4.552810622,2.797410661,1.444943523,0.292291433,4.534645617,1.737234956,90.91254376,9.087456239,1.00,2.00
Kegalle,Dehiowita,194,0,0,0,88589,88589,88589,0,0,0,99.47884657,99.47884657,99.47884657,89053,1830,1458,1941,10288,13687,12229,2.054956037,1.637227269,2.179600912,11.55267088,15.36949906,13.73227179,82.5755449,17.4244551,2.00,1.00
Colombo,Dehiwala,8,0,0,0,88112,88112,88112,0,0,0,100.0097146,100.0097146,100.0097146,88103,10676,1131,50,50,1231,100,12.11763504,1.283724731,0.056751756,0.056751756,1.397228244,0.113503513,86.48513671,13.51486329,1.00,1.00
Jaffna,Delft,46,0,2714,116,0,2830,116,0,93.3174863,3.991418888,0,97.30890519,3.991418888,2908,154,81,26,0,107,26,5.295735901,2.785419532,0.894085282,0,3.679504814,0.894085282,91.02475928,8.975240715,1.00,1.00
Kandy,Deltota,50,0,0,10437,19448,29884,29884,0,0,33.46895811,62.36669892,95.83565703,95.83565703,31183,1368,746,420,379,1545,799,4.38700574,2.392329154,1.346887727,1.21540583,4.954622711,2.562293557,90.65837155,9.341628451,1.00,2.00
Kegalle,Deraniyagala,222,0,0,16157,29359,45516,45516,0,0,35.1274353,63.83233687,98.95977218,98.95977218,45994,1230,835,881,2296,4012,3177,2.67426186,1.81545419,1.915467235,4.991955472,8.722876897,6.907422707,88.60286124,11.39713876,2.00,2.00
Matara,Devinuwara,38,0,0,0,46636,46636,46636,0,0,0,86.3339492,86.3339492,86.3339492,54018,3978,2033,2088,646,4767,2734,7.364211929,3.763560295,3.865378207,1.195897664,8.824836166,5.061275871,83.8109519,16.1890481,2.00,1.00
Matara,Dikwella,51,0,0,0,51062,51062,51062,0,0,0,90.9604037,90.9604037,90.9604037,56136,3247,2488,1585,760,4833,2345,5.784167023,4.432093487,2.823500071,1.353854924,8.609448482,4.177354995,85.60638449,14.39361551,2.00,1.00
Polonnaruwa,Dimbulagala,565,0,43746,46957,12,90715,46969,0,48.14784256,51.68205586,0.01278529,99.84268371,51.69484115,90858,4395,2363,1326,325,4014,1651,4.837218517,2.600761628,1.459420194,0.357701028,4.41788285,1.817121222,90.74489863,9.255101367,1.00,2.00
Gampaha,Divulapitiya,203,0,0,33872,121172,155044,155044,0,0,21.31663773,76.25654353,97.57318126,97.57318126,158900,13093,8945,8707,3193,20845,11900,8.239773442,5.629326621,5.479546885,2.009439899,13.1183134,7.488986784,78.64191315,21.35808685,2.00,2.00
Kalutara,Dodangoda,110,0,0,5008,72549,77557,77557,0,0,6.421554411,93.03570021,99.45725462,99.45725462,77980,4977,3623,3593,2993,10209,6586,6.382405745,4.646063093,4.60759169,3.838163632,13.09181841,8.445755322,80.52577584,19.47422416,2.00,1.00
Kandy,Doluwa,93,0,0,9611,47631,57242,57242,0,0,16.8388664,83.45112994,100.2899963,100.2899963,57076,2705,1798,1325,5040,8163,6365,4.739294975,3.150185717,2.321466115,8.830331488,14.30198332,11.1517976,80.9587217,19.0412783,2.00,1.00
Gampaha,Dompe,179,0,0,3678,171696,175374,175374,0,0,2.092533632,97.67976779,99.77230143,99.77230143,175774,9380,6808,9021,20081,35910,29102,5.336397875,3.873155302,5.13215834,11.42432897,20.42964261,16.55648731,74.23395952,25.76604048,2.00,1.00
Ratnapura,Eheliyagoda,140,0,0,0,75520,75520,75520,0,0,0,97.30969886,97.30969886,97.30969886,77608,4183,4064,5434,2776,12274,8210,5.389908257,5.236573549,7.001855479,3.57695083,15.81537986,10.57880631,78.79471189,21.20528811,2.00,1.00
Kurunegala,Ehetuwewa,169,0,61,14020,13558,27639,27578,0,0.21861646,50.34984996,48.68882666,99.25729308,99.03867662,27846,1302,873,307,42,1222,349,4.67571644,3.135100194,1.102492279,0.150829563,4.388422035,1.253321842,90.93586152,9.064138476,1.00,2.00
Polonnaruwa,Elahera,366,0,39886,3980,0,43866,3980,0,91.1834795,9.098564977,0,100.2820445,9.098564977,43743,1941,1361,966,278,2605,1244,4.437281394,3.11135496,2.208353337,0.635530256,5.955238552,2.843883593,89.60748005,10.39251995,2.00,1.00
Ratnapura,Elapatha,86,0,0,11397,30402,41798,41798,0,0,28.17305124,75.15465831,103.3277096,103.3277096,40452,948,882,1811,1651,4344,3462,2.343518244,2.18036191,4.476910907,4.081380401,10.73865322,8.558291308,86.91782854,13.08217146,2.00,2.00
Badulla,Ella,110,0,41024,6807,0,47831,6807,0,84.37248567,13.99857358,0,98.37105924,13.99857358,48623,1738,1011,624,1125,2760,1749,3.57444008,2.0792629,1.283343274,2.313719845,5.676326019,3.597063118,90.7492339,9.250766098,2.00,1.00
Galle,Elpitiya,151,0,0,69068,3,69071,69071,0,0,98.98959885,0.004451778,98.99405062,98.99405062,69773,3960,3648,3838,1795,9281,5633,5.675547848,5.228383472,5.500695111,2.572628381,13.30170696,8.073323492,81.02274519,18.97725481,2.00,2.00
Ratnapura,Embilipitiya,378,0,238,59580,88095,147913,147675,0,0.160480589,40.1942176,59.43064269,99.78534088,99.6248603,148231,8166,6807,4889,3213,14909,8102,5.508969109,4.592156836,3.298230465,2.167562791,10.05795009,5.465793255,84.4330808,15.5669192,2.00,2.00
Batticaloa,Eravur Pattu,587,3405,65572,9854,0,75426,9854,3.929235136,75.67443951,11.3724642,0,87.04690371,11.3724642,86650,7837,7978,2086,576,10640,2662,9.044431621,9.207155222,2.407386036,0.66474322,12.27928448,3.072129256,78.6762839,21.3237161,2.00,1.00
Batticaloa,Eravur Town,2,0,5752,0,0,5752,0,0,74.50387323,0,0,74.50387323,0,7721,162,239,48,0,287,48,2.098173812,3.095453957,0.621681129,0,3.717135086,0.621681129,94.1846911,5.815308898,1.00,1.00
Anuradhapura,Galenbidunuwewa,285,0,28760,21668,89,50517,21757,0,56.88403271,42.85692006,0.176173786,99.91712656,43.03309384,50559,2604,1562,365,16,1943,381,5.150418323,3.089459839,0.721928836,0.031646196,3.84303487,0.753575031,91.00654681,8.993453193,1.00,2.00
Matale,Galewela,194,0,202,74736,634,75572,75370,0,0.265216076,98.31461513,0.834579139,99.41441035,99.14919427,76017,5594,3980,1732,245,5957,1977,7.35888025,5.235670968,2.278437718,0.322296328,7.836405015,2.600734046,84.80471473,15.19528527,2.00,2.00
Kurunegala,Galgamuwa,265,0,0,72,60760,60831,60831,0,0,0.116312139,98.4071394,98.52345154,98.52345154,61743,3321,2256,1052,76,3384,1128,5.378747388,3.653855498,1.703836872,0.123090877,5.480783247,1.826927749,89.14046936,10.85953064,2.00,1.00
Kegalle,Galigamuwa,125,0,1242,74560,2262,78064,76822,0,1.563029101,93.8536363,2.847625147,98.26429055,96.70126145,79443,2838,2382,2321,2502,7205,4823,3.572372645,2.998376194,2.921591581,3.149427892,9.069395667,6.071019473,87.35823169,12.64176831,2.00,2.00
